ID,wireText,postingKey,glAccount,customerNo,companyCode,costCentre,profitCentre,febanDescription,comments
13884d07-e400-4070-b5ab-a6d4e040e04c,SENDING PERSON/CO FREDDIE MAC,50,1230055.0,,1001,,18627000,FREDDIE MAC,Check with HRS Team for lead & Job #
936a7ab4-6939-4d1e-94b6-3f3dc60e5ffd,CO FREDDIE MAC      INDIV/CO. I.D,50,1230055.0,,1001,,18627000,FREDDIE MAC,Check with HRS Team for lead & Job #
31203541-693d-462f-96f2-0c61feef4c30,SENDING PERSON/CO CNIMLLNGTN DET,15,,103628,1001,,,CNI MLLNGTN DET,
3fce4461-142f-4877-8baa-2ae13f8b3a06,SENDING PERSON/CO NABANCO,50,1200015.0,,1029,,,CO NABANCO,
75f62a37-a719-4b74-b483-9ceced80a539,SENDING PERSON/CO PAYPAL,50,1200035.0,,1122,,,PAYPAL,
07f81fe6-a8ff-4fb5-a6c8-284bc090e045,CO PAYPAL           INDIV/CO. I.D,50,1200035.0,,1122,,,PAYPAL,
02b06eb1-7353-4568-8529-3b464239dab0,SENDING PERSON/CO PROCTER GAMBLE,,,,1001,,,PROCTER GAMBLE,Check with Dustin
ebc06b95-8ef3-442d-9cec-e8951b0ae077,KX REAL DEALS,50,6201010.0,0,1001,18680000,0,KX REAL DEALS,
7e856214-198d-49b7-8559-2cfaf1939554,PEST SUPPLIES DIRECT LLC,50,6201010.0,0,1001,18680000,0,PEST SUPPLIES DIRECT LLC,
e52c4172-126b-4e44-8d50-aabc96c02072,CENTRAL COAST WHOLESALE,50,6201010.0,0,1001,18680000,0,CENTRAL COAST WHOLESALE,
821cef60-c0e3-4a75-bc1e-f8ce45a69790,RICARDO M PARRA,50,6201010.0,0,1001,18680000,0,RICARDO M PARRA,
1ba13a97-8187-484b-9218-2a101dcae8f9,ALL BLINDS LLC,50,6201010.0,0,1001,18680000,0,ALL BLINDS LLC,
0a7cbb04-722f-49fc-94f2-8e00f3c460f3,ELLIS WHOLESALE LLC,50,6201010.0,0,1001,18680000,0,ELLIS WHOLESALE LLC,
7f1787e5-9df4-47f7-9905-362fdfdabd57,CORELOGIC COMMERCIAL REAL ESTATE,50,2321000.0,0,1001,0,9090,CORELOGIC COMMERCIAL REAL ESTATE,
0d3384bb-2830-45e6-9808-d7032255cf87,PREMIERE LIQUIDATIONS LLC,50,6201010.0,0,1001,18680000,,PREMIERE LIQUIDATIONS LLC,
06d4152b-211a-493b-853e-fc1c581acc40,PREMIERE LIQUIDATIONS LLC,50,6201010.0,0,1001,18680000,,PREMIERE LIQUIDATIONS LLC,
40c91397-aadc-4b29-95ed-590bcaed56e3,RUSTIC TRENDS,50,6201010.0,0,1001,18680000,,RUSTIC TRENDS,
8546743a-71b9-447c-9257-170d050b916e,XCESS LIMITED,50,6201010.0,0,1001,18680000,0,XCESS LIMITED,
ac8f34b4-f479-4823-b82d-126cf6a29edc,CRAZY DANNY`S PALLET,50,6201010.0,0,1001,18680000,0,CRAZY DANNY`S PALLET,
a983b393-4174-49fa-904d-7422915d9d90,FOLLOW INC,50,6201010.0,0,1001,18680000,0,FOLLOW INC,
4ecefce0-555c-43de-99dc-53cbf02c79ee,FRONTERATEXTILEDISTRIBUTORSLLC,50,6201010.0,0,1001,18680000,0,FRONTERATEXTILEDISTRIBUTORSLLC,
4cb7b1e0-23ae-4d2b-8d5f-d2693711aeac,OCTER GAMBLE   ENTRY DESCRIPTION   EDI P,,,,1001,,,PROCTER GAMBLE,Check with Dustin
158d58a9-8bb6-4f19-a64d-d44bb12be7ba,SENDING PERSON/CO SANTANDER CONSUM,50,1200025.0,,1001,,,CO SANTANDER CONSUM,
a4fb496e-daf0-4d48-aebc-622b46767228,CO SANTANDER CONSUM INDIV/CO. I.D,50,1200025.0,,1001,,,CO SANTANDER CONSUM,
a9611687-0de6-4619-beb1-5c9f17770eef,SENDING PERSON/CO HERO PROGRAM,,1010056.0,,1001,,,HERO PROGRAM,HERO PROGRAM - SEND E-MAIL TO AHS TEAM
5d9c9768-1851-4563-8898-3885ebd8cc54,CO HERO PROGRAM     INDIV/CO. I.D,,1010056.0,,1001,,,HERO PROGRAM,HERO PROGRAM - SEND E-MAIL TO AHS TEAM
7e637cae-728a-4bde-afa6-d67c31454976,SENDING PERSON/CO CARLILE ENTERPRI,50,5524000.0,,1001,15158000,,CARLILE PREPAID CREDIT,
6825f4b9-c97f-4b25-88f9-82246b7c345e,SENDING PERSON/CO FANNIE MAE REO,50,1230055.0,,1001,,18627000,FANNIE MAE REO,
f65d320c-c626-402e-bd6a-8a02eaffaded,CO FANNIE MAE REO   INDIV/CO. I.D,50,1230055.0,,1001,,18627000,FANNIE MAE REO,
44462102-9407-41e9-a309-09570ec5b677,SENDING PERSON/CO TELECHECK,50,1235150.0,,1001,,,TELECHECK,
8f616396-f8e6-482c-967e-5914f7f9b488,CO TELECHECK        INDIV/CO. I.D,50,1235150.0,,1001,,,TELECHECK,
dc06f809-88db-4eb1-a502-678c8b3d14c8,BO:AH4R LP,15,0.0,116001,1001,,0,CO AH4R LP,0
8fe6cce4-4db7-4612-8d26-36b186ea5d77,CO AH4R LP          INDIV/CO. I.D,50,1230055.0,,1001,,18627000,CO AH4R LP,Check with HRS Team for lead & Job #
93468b21-9c40-4b2e-819c-df33056bacf1,SENDING PERSON/CO MSR LLC,50,1230055.0,,1001,,18627000,MSR LLC,Check with HRS Team for lead & Job #
05b5ae6f-f542-43bf-a9b7-804e38597f66,SENDING PERSON/CO DOMINION PRODUCT,50,1230055.0,,1001,,18627000,CO DOMINION PRODUCT,Check with HRS Team for lead & Job #
2f581fb4-7d7a-4947-b905-2a6bca434023,SENDING PERSON/CO NEW NGC INC.,50,1235150.0,,1001,,,NEW NGC INC.,SEND MAIL TO CO-OP REBATE TEAM
f35f293e-b275-4d6b-97e8-289738a97e73,SENDING PERSON/CO SUNRUN INCORPORA,50,1230055.0,,1001,10100000,,,SEND CONFIRMATION TO GIFT CARD TEAM - Check with HRS Team for lead & Job #
b1e7973a-562d-4d22-99ac-e1bb17bf5595,ORDER:HOME DEPOT USA,50,1010905.0,,1001,,,SWEEP TO CONCENTRATOR,
6cc704a3-57dd-4ce6-84d0-6a2d2c9061da,PAY BK:SUNTRUST BANK ATLANTA,50,1030155.0,,1001,,,SWEEP TO CONCENTRATOR,Need to Check with Previus Wiresand Order details / Brett
31d3fb9f-3f0e-49cd-9907-94cabad76859,ORDER:THE HOME DEPOT,50,1010165.0,,1001,,,SWEEP TO CONCENTRATOR,
78325525-aacd-46bc-b83e-b21ea4e6a463,ORDER:THE HOME DEPOT FPP MASTER 2,50,1120999.0,,1001,SHOULD BE BLANK,SHOULD BE BLANK,SWEEP TO CONCENTRATOR,
97323e96-dfe7-4573-8f4e-3c8cab9fdccc,ORDER:HEWITT-HOME DEPOT,50,5023000.0,,1001,10100000,,LOCKBOX,
c1756957-d21b-45b5-bb97-ab012f5bbc80,ORDER:NORTH AMERICA CITI BRANDED CARDS,50,1200010.0,,1001,,,SOUTH DAKOTA,
ff80d39e-c635-40d1-b699-4bc1af68c42f,DETAILS:6710700 FDMS DEPOSIT,50,1200015.0,,1001,,,WIRE,
9e84e22f-1b08-4e6a-b51b-06cbf8c564f5,DETAILS:6710700,50,1200030.0,,1001,,,WIRE,
0d8f4665-c319-40b3-baf2-9bf4947e3509,DETAILS:6710709 FDMS DEPOSIT,50,1200015.0,,1122,,,WIRE,
4cf1915e-8fc4-40cc-b23c-78f8ae98bbb7,DETAILS:6710709,50,1200030.0,,1122,,,WIRE,
e5e05c7a-bf56-4796-b7fc-1441b3542c00,DETAILS:6710703 FDMS DEPOSIT,50,1200015.0,,1076,,,WIRE,
ed92cfd8-5894-4d35-9f3e-017a806be129,DETAILS:6710703,50,1200030.0,,1076,,,WIRE,
8e33e582-0dcd-46b0-83fa-2cca7a60b18c,DETAILS:6710704 FDMS DEPOSIT,50,1200015.0,,1029,,,6710704 FDMS DEPOSIT -FIRST DATA,
788c5d55-89f3-427b-a345-13b47251e33c,DETAILS:6710704,50,1200030.0,,1029,,,6710704 - FIRST DATA,
d0184db4-7e53-4515-8775-24aa296f1a76,PAY BK:FIFTH THIRD BANK,50,1030148.0,,1001,,,SWEEP TO CONCENTRATOR,
bd8d445d-c396-4b2b-9e8c-fbf458df7102,ORDER:HD GUAM LLC,50,1010885.0,,1148,,,SWEEP TO CONCENTRATOR,
9b1d3e0f-ea50-47d7-9ff4-9a4d2e4e5bf3,DETAILS:REF: FIRST HAWAIIAN,50,1030895.0,,1001,,,SWEEP TO CONCENTRATOR,
eb3c4f58-ca94-4133-8d2d-5a0e24d4066a,ORDER:FORTIVA FUNDING,50,1200025.0,,1001,,,FORTIVA FUNDING,
16536587-c237-4237-9606-4bf12bb504f7,ORDER:MID AMERICA BANK & TRUST CO,50,1200025.0,,1001,,,MID AMERICA BANK & TRUST CO,
3fe23397-a9de-416f-9b51-1a57a5a478d0,SENDING PERSON/CO HOMEDEPOT,40,1107656.0,,1001,,,Imprst,
ce1d6d50-d6a0-44cb-8395-ed961b0726f3,4208567071     ENTRY DESCRIPTION IMPRST,40,1107656.0,,1001,,,Imprst,
7edd9c74-dd94-445d-859c-ab02ba6301b3,DETAILS:FUNDING BOA CONCENTRATOR,40,1030916.0,,1001,,,FUNDING BOA CONCENTRATOR ACCOUNT,
a9f00dbd-cfb5-4d92-8cb1-450f99422b3e,ORDER:MID AMERICA BANK AND TRUST,50,1200025.0,,1001,,,MID AMERICA BANK & TRUST CO,
f254fd65-f21d-4ba3-9bc4-26c70096ebad,SENDING PERSON/CO CITIGROUPPYMTSVC,15,,103786,1001,,,CITIGROUPPYMTSVC,CHECK BRETT EMAIL IN DISBURSMENT
7a63f9f6-8e55-4145-8da0-a8236518a8a9,ORDER:FIRST AMERICAN TITLE INSURANCE COM,,,,1001,,,ORDER:FIRST AMERICAN TITLE INSURANCE COM,send mail to FA TEAM
be96e8f9-388c-4283-b88d-79a615cd53eb,DETAILS:OUTSOURCED PAYABLES 101055-1001,40,1010055.0,,1001,,,OUTSOURCED PAYABLES,
63ef0139-e5bf-4839-af9f-d934e5871e89,ORDER:CITICORP FINANCIAL SERVICES LIMITE,50,6160000.0,,1001,10100000,,REBATE,
863645a0-1778-460c-aea8-b5424a04ee38,SENDING PERSON/CO STONEGLEN INVEST,15,,110675,1001,,,SENDING PERSON/CO STONEGLEN INVEST,
1b724a6a-95ca-4537-b293-25f1df5e8011,SENDING PERSON/CO CAL MULTIMODAL,50,5524000.0,,1001,15154000,,CALIFORNIA MULTIMODAL PREPAID CREDIT,Check Norris Dan A e-mail
587fab26-1532-4e7f-9558-f1d009232070,SENDING PERSON/CO RENOVATE AMERICA,50,1010056.0,,1001,,,RENOVATE AMERICA,SEND MAIL TO HOLINGSWORTH LINDA R/AHS Team
81254d43-a124-41ed-923c-06196276b7bf,SNDR IRVING FOREST PRODUCTS,50,1235150.0,,1001,,,IRVING FOREST PRODUCTS,SEND MAIL TO CO-OP REBATE
1a1289e4-8f2d-455d-8bf2-00e3c8cb24af,ORDER:SHOPJIMMY.COM,50,6201010.0,,1001,18680000,,SHOPJIMMY.COM,
923311e8-aff3-441d-8ff5-642984190ca4,DETAILS:FUND ARE FOR HOME DEPOT REBATEPR,50,6160000.0,,1001,10100000,,"WIRE, BANK REBATES",
7dea8f81-059e-4ece-9cf0-4308a3c0b578,CR  BK:BANCO POPULAR DE PUERTO RICO,40,1010055.0,,1001,,,HDVI HOLDING COMPANY INC,
16d821df-0ee7-4e5c-8f67-f0ac0d95ca8c,ORDER:HUNTER FAN COMPANY,50,1235150.0,,1001,,,HUNTER FAN CO,
93993110-dbda-46e2-b8e1-783240f6e677,SENDING PERSON/CO GCC BLINDS,50,,,1001,,,Marjorie will book offset,
2ec9ec77-a0cf-4898-9b85-d9f9148ae5bf,ORDER:REPAIRCLINIC,50,1242000.0,0,1001,0,0,REPAIRCLINIC LLC,0
87811ebd-5e0c-400c-99dd-1352d24362a9,SENDING PERSON/CO SOLARCITY MASTER,50,1230055.0,,1001,,,,SEND CONFIRMATION TO GIFT CARD TEAM - Check with HRS Team for lead & Job #
a73ce616-6bca-4f93-87fe-c69ef2dacefe,CREDIT:STANDARD CHARTERED BANK,40,2050040.0,,1129(trading partner),,,STANDARD CHARTERED BANK,
41e182be-ca2c-4102-8be4-13fe11ab5bb4,CREDIT:HSBC BANK (CHINA) COMPANY LIMITED,40,2050040.0,,1124(trading partner),,,HSBC BANK USA NA,
67feb94b-b4ed-479a-899c-e4a51527ad95,SENDING PERSON/CO RANDOLPH BROOKS,50,1235150.0,,1001,,,RANDOLPH BROOKS,
105f7dd9-9cdd-4112-9d7c-c039b9cee248,SENDING PERSON/CO HOME DEPOT 0502,50,1010055.0,,1001,,,HOME DEPOT 0502,
93edecfa-fb81-4afe-b66f-5547c407ff74,SENDING PERSON/CO JELD-WEN CR,50,1235150.0,,1001,,,"CO JELD-WEN CR ,COOP REBATE PMNT",
a34785ce-20c5-4150-abaf-920680a81686,SENDING PERSON/CO SEALED AIR CORPO,50,1010056.0,,1001,,,SEALED AIR CORPO,check offset once
aa6678db-52a9-4e79-aa31-624fa6d9904c,SENDING PERSON/CO THE REINALT-THOM,15,,102328,1001,,,THE REINALT-THOM,
49a81303-d8d3-4cf8-82ba-bb6cf553c32c,CO THE REINALT-THOM INDIV/CO. I.D,15,,,1001,,,THE REINALT-THOM,
d8fd7460-8e63-4628-92fd-35af206eed67,ORDER:WRRI,50,1500200.0,,1001,,,Wire (WRRI),
06d79704-5fb9-46a5-9423-d526d8578f62,ORDER:LIVING SPACES FURNITURE LLC,15,,109522,1001,,,LIVING SPACES FURNITURE LLC,
9b46ce39-4294-4a3b-a5ca-7fbf9243321d,ORDER:MAIN EVENT ENTERTAINMENT,15,,112624,1001,,,MAIN EVENT ENTERTAINMENT LP,
d21c7459-bf12-4fe2-9a16-66b878182afe,SENDING PERSON/CO PEP BOYS,15,,102504,1001,,,PEP BOYS,
0710354e-93a5-445a-b5d8-5a948c1fa35b,SENDING PERSON/CO OPTORO,50,6201010.0,,1001,18680000,,CO OPTORO,
1dd3c053-e366-4c42-9cea-c2bed3781147,SENDING PERSON/CO YAHOO! US,15,,110202,1001,,,YAHOO! US,
59660d24-18d0-4b31-a687-86208761ae22,SENDING PERSON/CO AWINMGMT,50,5590020.0,,1001,10100000,,AWINMGMT,
0a873a88-0c5f-4022-ab25-9f693f01ab57,SENDING PERSON/CO AMERICAN EXPRESS,50,,,,,,,Check with gift card team
39ce5f8c-259b-4c0c-8500-b32b5771d7dd,SENDING PERSON/CO BRINKER INTERNTL,15,,102209,1001,,,BRINKER INTERNTL,
443e7fe8-f2f4-40cd-aad5-d6bc220fadb5,SENDING PERSON/CO FC ELY ASSOCIATE,15,,102292,1001,,,CO FC ELY ASSOCIATE,
50db42bd-a82b-496a-93bc-e7e31306bf8a,SENDING PERSON/CO GARDEN RIDGE,15,,112980,1001,,,GARDEN RIDGE,
ecc35d17-1c1b-425c-b40c-8a324b65d8e0,SENDING PERSON/CO BARNETT ADMI9990,15,,,1001,,,BARNETT ADMI9990,
d612548e-ebbc-4e75-a6d7-2d936e47eca1,SENDING PERSON/CO HUDD DISTRIBUTIO,15,,111492,1001,,,HUDD DISTRIBUTIO,Check with Gift card team
7c733e07-b173-4de5-a603-3bff7bebdd62,SENDING PERSON/CO APPLE AMERICAN,15,,109983,1001,,,APPLE AMERICAN,
34b2d173-2b99-4684-92ba-522356183afd,SENDING PERSON/CO BLACKHAWK NETWOR,15,,112422,1001,,,BLACKHAWK NETWORK,
8ca46e11-b9ae-4acb-a5bb-72ade961dfa9,601101205008152ENTRY DESCRIPTION   SETTL,50,1200005.0,0,1001,,,DISCOVER NETWORK,
c26d9703-4123-433a-9e47-128b2b83eeb3,SENDING PERSON/CO AMERICAN EXPRESS,50,1200000.0,0,1001,,,AMERICAN EXPRESS,
6f64dc8f-20d9-4db3-86ec-6b00ee05d109,RCVR NAME HOME DEPOT I4104826557,50,1200000.0,,1001,,,AMERICAN EXPRESS,
a8543768-f780-4e37-8bf7-20bf0d75d7c3,HOME DEPOT I4104826557   SENDING PERSON,50,1200000.0,,1001,,,AMEX BAMS US,
6a3f4cfa-8443-4302-9d9b-8218499d4952,SENDING PERSON/CO AMERICAN EXPRESS,50,1200000.0,0,1001,,,AMERICAN EXPRESS,
39105b1a-bef1-41b4-b6f7-5afeeec52cca,RCVR NAME HOME        1102167350,50,1200000.0,,1001,,,AMERICAN EXPRESS,
59be2066-01cb-455a-be10-fd96576c2f7b,HOME        1102167350   SENDING PERSON,50,1200000.0,,1001,,,AMEX CHASE,
da6ada7a-ba96-4e43-a129-258c4452eb32,SENDING PERSON/CO AMERICAN EXPRESS,50,1200000.0,0,1029,,,AMERICAN EXPRESS,
bac132e0-695e-49b4-93d4-9fea02b31903,RCVR NAME HOME DEPOT  9380150129,50,1200000.0,,1029,,,AMERICAN EXPRESS,
3f66f816-fd29-4f6c-80b6-b5e10b20898a,HOME DEPOT  9380150129   SENDING PERSON,50,1200000.0,,1029,,,AMERICAN EXPRESS,0
f307bd88-18d6-4247-bd8c-34adaad7d1ec,SENDING PERSON/CO AMERICAN EXPRESS,50,1200000.0,0,1076,,,AMERICAN EXPRESS,
823d617c-ac3a-4ab1-ab97-c6367a286aa3,RCVR NAME VIRGIN ISLAN9380150327,50,1200000.0,,1076,,,AMERICAN EXPRESS,
